n,canal,url,estado,motivo,frames,muestreo_s,negro_%,congelado_s,check_s,ffmpeg_rc,timed_out
56,Chaco TV (720p) [Not 24/7],https://wowzasrv.chaco.gov.ar/Streamtv/chacotv/playlist.m3u8,ok,,750,15.0,0.0,0.0,12.1,0,False
57,Chilecito TV (480p),https://vivo.solumedia.com:19360/grupoemail/grupoemail.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,6.3,3419392776,False
58,Cumbia Mix (720p),https://cloud.tvomix.com/CUMBIAMIX/index.m3u8,ok,,375,15.0,0.0,0.0,3.5,0,False
59,Disney Jr. Latin America South,http://tr.live.clarovtrcdn.vtrplay.com/disneyjrhdchi/vxfmt=dp/playlist.m3u8?device_profile=STB_HLS_VCAS_LIVE_HD,fail,opciones FFmpeg incompatibles: Opening 'http://ats-edge-iqui-1.live.clarovtrcdn.vtrplay.com/disneyjrhdchi/vxfmt=dp/h_764f57cde7d0c5b132978bd101cf8c7b/var3500000/vid/playlist.m3u8?device_profile=hls_hls,0,0.0,0.0,0.0,37.0,2880417800,False
60,El Trece (1080p),https://livetrx01.vodgc.net/eltrecetv/index.m3u8,ok,,375,15.0,0.0,0.0,3.6,0,False
61,Europa Europa,http://181.119.93.83:8000/play/a1sr/index.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,12.6,2880417800,False
62,Garage TV Latin America,https://stream1.sersat.com/hls/garagetv.m3u8,ok,,374,15.0,0.0,0.0,1.5,0,False
63,Kpop Mix (720p),https://cloud.tvomix.com/KPOPMIX/index.m3u8,ok,,373,15.0,0.0,0.0,3.4,0,False
64,Litus TV (720p),https://stream.arcast.com.ar/litustv/ngrp:litustv_all/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,8.2,3419392776,False
65,Magic Kids (486p),https://magicstream.ddns.net/magicstream/stream.m3u8,fail,no abre/no decodifica: Failed to resolve hostname magicstream.ddns.net: The name does not resolve for the supplied parameters,0,0.0,0.0,0.0,0.9,4294967291,False
66,Más FM 95.9 (720p),https://vivo.solumedia.com:19360/masfm/masfm.m3u8,ok,,450,15.0,0.0,0.0,9.9,0,False
67,Metro TV (720p),https://streamtv12.ddns.net:5443/LiveApp/streams/193945633734205616732920.m3u8,ok,,450,15.0,0.0,0.0,10.8,0,False
68,Milennio TV (720p),https://videostream.shockmedia.com.ar:19360/milenniotv/milenniotv.m3u8,ok,,450,15.0,0.0,0.0,11.5,0,False
69,Misiones Cuatro,https://iptv.ixfo.com.ar:30443/live-HD/MISIONES4/playlist.m3u8,ok,,375,15.0,0.0,0.0,8.5,0,False
70,Multivision Federal,https://panel.host-live.com:19360/8250/8250.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,9.5,3419392776,False
71,MusicTop (1080p),https://stream-gtlc.telecentro.net.ar/hls/musictophls/0/playlist.m3u8,fail,no abre/no decodifica: HTTP error 400 Bad Request,0,0.0,0.0,0.0,1.2,3486501640,False
72,NET TV (720p),https://unlimited1-us.dps.live/nettv/nettv.smil/playlist.m3u8,ok,,300,10.0,0.0,0.0,9.9,0,False
73,NET TV (720p),https://unlimited6-cl.dps.live/nettv/nettv.smil/playlist.m3u8,ok,,450,15.0,0.0,0.0,5.2,0,False
